Date,EMP,PCI,Predictions
2015-03-31,42245.0,154769.0,
2015-06-30,42410.0,154020.0,154769.0
2015-09-30,42473.0,164632.0,154020.0
2015-12-31,42586.0,161678.0,154020.0
2016-03-31,42548.0,162611.0,161678.0
2016-06-30,42582.0,163474.0,161678.0
2016-09-30,42769.0,174771.0,161678.0
2016-12-31,42847.0,171404.0,174771.0
2017-03-31,43190.0,173330.0,171404.0
2017-06-30,43404.0,174884.0,173330.0
2017-09-30,43555.0,187229.0,174771.0
2017-12-31,43801.0,183258.0,187229.0
2018-03-31,44125.0,184671.0,183258.0
2018-06-30,44519.0,188748.0,184671.0
2018-09-30,44705.0,203831.0,188748.0
2018-12-31,44864.0,198601.0,203831.0
2019-03-31,45055.0,198858.0,198601.0
2019-06-30,45347.0,203386.0,198601.0
2019-09-30,45596.0,218143.0,201216.0
2019-12-31,45867.0,214678.0,218143.0
2020-03-31,45895.0,212257.0,214678.0
2020-06-30,45596.0,,218143.0
